item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
625,623,Unwrap,[kpáí],/βọb/,
626,624,Pack (v),[βób],/βọb/,
627,625,Strap (n),[rèká],/vúnéné/,
628,626,String (n),[βọb],/βób/,
629,627,Rope,[βọb],/mìé/,
630,628,Knot,[βọb],/vúnéné/,
631,629,"Fasten, bind",[vúnéné],/vúnéné /,
632,630,Tie (knot),[βób],/ísó-ádòn/,
633,631,Untie,[mìé],/úwúβò/,
634,632,Tighten,[vúnéné],/íʒúmá dòn/,
635,633,(be) tight,[vúnéné / yáyò],/rémá/,
636,634,Loosen,[ísó-ádòn],/étó-rémà/,
637,635,"(be) loose, slack",[úwúβò],/míndò/,
638,636,"Compound, house",[íʒúmá dòn],/hévúnọ/,
639,637,Hut,[rémá],/ìkòwá/,
640,638,Wall,[étó-rémà],/áyá-ívónọ/,
641,639,"Door, doorway cover",[míndò],/úbéró/,
642,640,Doorway,[hévúnọ],/ìfám úbéd/,
643,641,Window,[ìkòwá],/éhúwà/,
644,642,Roof,[áyá-ívónọ],/ètópé/,
645,643,"Beam, rafter",[úbéró],/èsà/,
646,644,Floor,[ìfám úbéd],/èkwá/,
647,645,Room,[éhúwà],/èkwá/,
648,646,Bedroom,[ètópé],/rèkpányí/,
649,647,Kitchen,[èsà],/ńyáng-ísọ-nyá/,
